"date","name","change","position","sphere","killed","Посада.в.Україні","Сфера.діяльності","Тип.підрозділу","Підпорядкування.в.окупації","date.y","surname","same_person","citizenship","Додаткові.обов.язки.чи.вимоги..накладені.окупантами","Ліквідовані.так.ні"
2022-07-14,"Директор КП ""Комунальна власність""","FALSE","Директор КП ""Комунальна власність""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Директор КП ""Чистота""","FALSE","Директор КП ""Чистота""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Директор КП ""Ритуальна служба ""Ритуал""","FALSE","Директор КП ""Ритуальна служба ""Ритуал""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Директор ТОВ ""Тепло-Мелітополь""","FALSE","Директор ТОВ ""Тепло-Мелітополь""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Директор КП ТРК ""Мелітополь""","FALSE","Директор КП ТРК ""Мелітополь""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Директор КП ""Аптеки МЛТ""","FALSE","Директор КП ""Аптеки МЛТ""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Директор КП ""Мелітополькомунтранс""","FALSE","Директор КП ""Мелітополькомунтранс""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Директор Мунициального предприятия ""Водоканал-Мелитополь""","TRUE","Директор Мунициального предприятия ""Водоканал-Мелитополь""","Комунальні підприємства","ні","Директор КП ""Водоканал""","Водопостачання","комунальне підприємство","Военно-гражданская администрация г. Мелитополь Запорожской области",2022-05-04,"Юрій Онищук ","так","Україна","","ні"
2022-07-14,"Директор КП ""Міськсвітло""","FALSE","Директор КП ""Міськсвітло""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Директор КП ""Мелітопольжитлосервіс""","FALSE","Директор КП ""Мелітопольжитлосервіс""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Руководитель КП ""Жилмассив"" ","TRUE","Руководитель КП ""Жилмассив"" ","Комунальні підприємства","ні","Директор КП ""Житломасив""","ЖКГ","комунальне підприємство","Мелітопольська міська рада Запорізької області",2022-05-30,"Андрій Хрущ ","так","Україна","","ні"
2022-07-14,"Начальник лінійного відділу на залізничній станції ""Мелітополь""","FALSE","Начальник лінійного відділу на залізничній станції ""Мелітополь""","Інше","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Мелітопольський міський відділ Нацполіції України","FALSE","Мелітопольський міський відділ Нацполіції України","Інше","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Начальник залізничної станції ""Мелітополь""","FALSE","Начальник залізничної станції ""Мелітополь""","Інше","так",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Руководитель Госпредприятия «Мелитопольская железная дорога»","TRUE","Руководитель Госпредприятия «Мелитопольская железная дорога»","Інше","ні","Начальник залізничної станції ""Мелітополь""","Залізниця","держпідприємство","держпідприємство",2022-06-21,"Олексій Єфремов ","ні","Україна","","ні"
2022-07-14,"Начальник Мелітопольської державної податкової інспекції","FALSE","Начальник Мелітопольської державної податкової інспекції","Інше","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Окружний прокурор Мелітопольської міської прокуратури","FALSE","Окружний прокурор Мелітопольської міської прокуратури","Інше","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Голова Мелітопольського міськрайонного суду","FALSE","Голова Мелітопольського міськрайонного суду","Інше","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"Директор ПАТ ""Мелітопольгаз""","FALSE","Директор ПАТ ""Мелітопольгаз""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-20,"Глава администрации города Мелитополь","TRUE","Глава администрации города Мелитополь","Міськрада та виконком","ні","Міський голова","Міський голова","апарат міського голови","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-12,"Галина Данильченко","ні","Україна","Організовувала референдум щодо приєднання частини Запорізької області до Росії.","ні"
2022-12-20,"Директор департаменту реєстраційних послуг","FALSE","Директор департаменту реєстраційних послуг","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-20,"Директор департамента капстроительства и ЖКХ","TRUE","Директор департамента капстроительства и ЖКХ","Міськрада та виконком","ні","Директор департаменту капітального будівництва та ЖКГ ","ЖКГ","департамент","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-05-02,"Олексій Тегімбаєв ","так","Україна","-","ні"
2022-12-20,"Начальник управління соцзахисту населення","FALSE","Начальник управління соцзахисту населення","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-20,"Министр Министерства образования и науки","TRUE","Министр Министерства образования и науки","Освіта","ні","Начальник управління освіти","Освіта","департамент","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-16,"Олена Шапурова ","ні","Україна","Жінка разом з росвійськовими їздить в різні населені пункти окупованих територій (села, ОТГ, міста) й намагається організувати видимість навчального процесу. Також вона погрожувала вчителям, які не хочуть співпрацювати з росіянами та батькам, які не хочуть віддавати дітей у школи.","ні"
2022-12-20,"Замминистра Министерства образования и науки","TRUE","Замминистра Министерства образования и науки","Освіта","ні","Заступник начальника управління освіти","Освіта","департамент","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-17,"Вікторія Костроміна","ні","Україна","Вікторія Костроміна до окупації працювала під керівництвом Олени Шапурової.","ні"
